date,Nvidia RTX 3060-Ti,Nvidia RTX 3070,Nvidia RTX 3080,Nvidia RTX 2060,Nvidia GTX 1060-6GB,Nvidia GTX 1650,AMD RX 5700,Nvidia GTX 1070,Nvidia RTX 3060,AMD RX 590,AMD RX 5700-XT,AMD RX 580,Nvidia GTX 1660
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-03-01,0,0,0,0,0,0,0,2,0,0,0,0,0
2016-04-01,0,0,0,0,0,0,0,4,0,0,0,0,0
2016-05-01,0,0,0,0,0,0,0,82,0,0,0,0,0
2016-06-01,0,0,0,0,0,0,0,100,0,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,62,0,0,0,0,0
2016-08-01,0,0,0,0,0,0,0,59,0,0,0,0,0
2016-09-01,0,0,0,0,0,0,0,53,0,1,0,0,0
2016-10-01,0,0,0,0,25,0,0,50,0,0,0,0,0
2016-11-01,0,0,0,0,26,0,0,66,0,0,0,1,0
2016-12-01,0,0,0,0,0,0,1,65,0,0,0,1,0
2017-01-01,0,0,0,0,0,0,0,55,0,0,0,0,0
2017-02-01,0,0,0,0,50,0,0,51,0,1,0,3,0
2017-03-01,0,0,0,0,0,0,0,49,0,2,0,7,0
2017-04-01,0,0,0,0,24,0,0,56,0,2,0,44,0
2017-05-01,0,0,0,0,24,0,0,37,0,2,0,50,0
2017-06-01,0,0,0,0,0,0,0,62,0,7,0,83,0
2017-07-01,0,0,0,0,100,0,0,55,0,1,0,58,0
2017-08-01,0,0,0,0,24,0,0,42,0,1,0,59,0
2017-09-01,0,0,0,0,0,0,0,53,0,0,0,40,0
2017-10-01,0,0,0,0,0,0,0,61,0,1,0,46,0
2017-11-01,0,0,0,0,23,0,0,71,0,3,0,64,0
2017-12-01,0,0,0,0,47,0,0,79,0,0,0,90,0
2018-01-01,0,0,0,0,0,0,0,92,0,0,0,85,0
2018-02-01,0,0,0,0,0,0,0,61,0,0,0,59,0
2018-03-01,0,0,0,0,22,0,0,57,0,0,0,48,0
2018-04-01,0,0,0,0,23,0,0,43,0,1,0,47,0
2018-05-01,0,0,0,0,22,0,0,41,0,1,0,41,0
2018-06-01,0,0,0,0,22,0,0,50,0,0,0,34,0
2018-07-01,0,0,0,0,0,0,0,49,0,2,0,40,0
2018-08-01,0,0,0,4,0,0,0,53,0,0,0,51,0
2018-09-01,0,0,0,1,22,0,0,40,0,1,0,57,0
2018-10-01,0,0,0,4,0,0,0,38,0,17,0,53,0
2018-11-01,0,0,0,3,0,0,0,55,0,100,0,72,0
2018-12-01,0,0,0,4,0,0,0,53,0,52,0,67,0
2019-01-01,0,0,0,51,0,0,1,46,0,57,0,73,3
2019-02-01,0,0,0,36,0,1,0,42,0,51,0,61,16
2019-03-01,0,0,0,35,0,1,0,39,0,34,0,59,22
2019-04-01,0,0,0,26,22,7,0,32,0,40,0,56,19
2019-05-01,0,0,0,24,0,9,7,25,0,36,0,51,28
2019-06-01,0,0,0,34,0,10,29,29,0,34,0,66,31
2019-07-01,0,0,0,37,21,19,94,27,0,49,0,62,27
2019-08-01,0,0,0,38,0,20,59,28,0,44,0,59,35
2019-09-01,0,0,0,43,21,26,49,23,0,43,0,56,31
2019-10-01,0,0,0,40,20,30,52,27,0,43,0,49,38
2019-11-01,0,0,1,56,41,46,80,24,0,69,100,71,74
2019-12-01,0,0,1,49,0,42,76,30,0,82,98,68,63
2020-01-01,0,1,1,56,19,43,74,25,0,65,0,62,48
2020-02-01,0,1,1,47,20,43,58,25,0,43,0,52,48
2020-03-01,0,0,1,46,18,44,71,27,1,52,0,69,53
2020-04-01,0,1,1,73,17,60,99,36,0,55,86,100,74
2020-05-01,0,1,2,89,0,72,100,31,1,70,0,98,89
2020-06-01,0,1,3,80,18,80,85,32,0,45,88,82,73
2020-07-01,0,2,3,69,0,78,82,25,1,42,0,72,75
2020-08-01,0,4,6,90,36,79,88,23,2,45,90,64,78
2020-09-01,0,100,100,90,18,74,74,26,15,35,0,66,77
2020-10-01,0,74,37,73,37,78,60,18,7,27,92,58,65
2020-11-01,35,84,34,100,0,100,100,25,13,33,0,68,87
2020-12-01,34,69,34,98,0,94,88,31,80,36,93,74,100
2021-01-01,34,66,25,78,0,94,71,32,62,33,0,71,82
2021-02-01,0,55,25,69,0,78,76,25,100,30,0,69,75
2021-03-01,100,54,20,75,0,85,57,24,75,22,0,65,66
2021-04-01,35,52,19,57,19,77,43,20,67,22,0,57,66
2021-05-01,0,47,20,67,19,76,47,20,68,20,0,54,63
2021-06-01,0,59,24,56,0,73,41,21,53,17,0,40,52
2021-07-01,36,47,17,53,0,68,29,20,63,17,0,42,55
2021-08-01,36,48,17,42,0,72,33,18,59,18,0,38,52
2021-09-01,0,40,14,40,0,65,36,16,59,18,0,33,49
2021-10-01,0,33,15,53,0,58,22,15,71,15,0,25,53
